SampleID,A1,A2,A3,A4,B1,B2,B3,B4,B5,B6,B7,C1,C2,D1,D2,C3,D3,D4,D5,D6,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1,1,3,0,0,2,2,2,0,0,4,0,0,0,0,0,0,2,0,0,0,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,unidentified
OTU2,0,0,4,8,0,0,0,4,3,0,0,4,5,4,4,7,0,0,0,5,Bacteria,Proteobacteria,Deltaproteobacteria,43F-1404R,unidentified,unidentified,unidentified
OTU3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,uncultured,unidentified
OTU4,0,2,7,2,0,0,0,5,3,0,0,8,5,0,0,4,0,0,0,0,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured Chloroflexi bacterium
OTU5,0,0,0,0,4,3,2,0,0,4,0,0,0,0,0,0,4,0,4,0,Bacteria,Chloroflexi,KD4-96,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
OTU6,0,3,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,unidentified
OTU7,0,4,0,3,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,uncultured bacterium
OTU8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,uncultured,Terrabacter sp. 8-140
OTU9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured Chloroflexi bacterium
OTU11,0,0,0,0,0,0,0,4,0,0,0,0,0,4,5,8,0,0,0,4,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,uncultured,uncultured gamma proteobacterium
OTU12,4,4,4,4,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,uncultured,uncultured bacterium
OTU13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified
OTU14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,5,0,Bacteria,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,Thiobacillus,uncultured bacterium
OTU15,0,0,0,0,0,0,0,4,4,0,0,0,0,0,3,3,0,0,0,4,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter,uncultured bacterium
OTU16,0,0,0,0,0,0,2,0,4,0,0,4,3,0,0,0,0,0,0,0,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia,unidentified
OTU17,7,5,6,5,2,6,6,4,2,6,7,0,0,0,0,0,0,2,0,0,Bacteria,Acidobacteria,Subgroup 17,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
OTU18,0,0,0,0,5,5,5,0,0,3,3,0,0,0,0,0,2,3,0,0,Bacteria,Actinobacteria,Actinobacteria,Frankiales,uncultured,unidentified,unidentified
OTU19,4,4,5,4,2,3,4,4,4,4,4,0,2,0,0,0,1,3,0,0,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,0319-6A21,uncultured bacterium,uncultured bacterium
OTU20,2,7,6,5,6,4,5,4,5,4,0,4,9,0,0,2,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,unidentified
OTU21,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,0,0,0,4,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured soil bacterium
OTU22,0,0,0,0,5,6,3,0,2,0,0,2,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,unidentified
OTU23,0,0,0,5,0,0,0,2,2,0,2,4,2,0,0,0,0,0,3,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,MSB-1E8,uncultured bacterium,uncultured bacterium
OTU24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,unidentified
OTU25,0,5,2,2,3,3,3,3,2,3,5,2,2,2,2,0,2,5,6,2,Bacteria,Actinobacteria,MB-A2-108,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
OTU26,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU27,0,5,2,1,2,5,2,2,3,6,3,3,2,6,1,0,0,2,2,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Skermanella,uncultured bacterium
OTU28,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,Bacteria,Chloroflexi,SJA-15,unidentified,unidentified,unidentified,unidentified
OTU29,0,0,2,2,2,6,2,2,2,2,4,4,0,0,4,4,0,6,3,4,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Anaeromyxobacter,uncultured bacterium
OTU30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured,uncultured bacterium
